Week,Group,Sample,Trials,Bifidobacteria,L.paracacei,L.acipholilus,pH,Viscosity
1,C,C1,1,,5.86332286,5.322219295,4.285,45.25
1,C,C2,2,7.24E+00,7.152288344,5.770852012,4.305,49.25
1,C,C3,3,7.76E+00,7.029383778,6.26245109,4.31,39.25
1,F,F1,1,6.91E+00,7.139879086,6.318063335,4.315,35.85
1,F,F2,2,6.76E+00,7.10720997,5.662757832,4.285,45.8
1,F,F3,3,7.653212514,7.33243846,5.204119983,4.265,42
2,C,C1,1,7.037426498,7.46686762,4.556302501,4.35,44.85
2,C,C2,2,,7.371067862,4.041392685,4.36,45.512
2,C,C3,3,7.301029996,7.478566496,4.62324929,4.335,34.7
2,F,F1,1,6.995635195,7.390935107,5,4.355,44
2,F,F2,2,6.963787827,7.190331698,0,4.34,42.6
2,F,F3,3,7.491361694,7.40654018,5.653212514,4.315,41.1
3,C,C1,1,6.380211242,6.736396502,0,4.4,45.6
3,C,C2,2,6.982271233,7.681241237,5.423245874,4.41,54
3,C,C3,3,7.139879086,7.90579588,0,4.36,48.2
3,F,F1,1,6.707570176,7.544068044,0,4.41,51.3
3,F,F2,2,6.579783597,8.311753861,3.371067862,4.43,43.5
3,F,F3,3,7.875061263,,3.311753861,4.28,48.5
4,C,C1,1,7.225309282,7.897487872,0,4.3,48.6
4,C,C2,2,6.301029996,7.263169639,3.301029996,4.36,57.6
4,C,C3,3,7.414973348,7.944482672,4.568201724,4.3,49
4,F,F1,1,7.113943352,7.97685569,0,4.37,54.7
4,F,F2,2,7.091666958,7.505149978,3.667452953,4.31,47.8
4,F,F3,3,7.686636269,7.844698831,4.740362689,4.28,48.7
5,C,C1,1,5.426849106,8.113917653,0,4.34,53.5
5,C,C2,2,6.941944229,7.965015807,0,4.33,53.3
5,C,C3,3,6.616498055,7.993430635,3.851258349,4.22,43.6
5,F,F1,1,6.794751398,7.93314367,0,4.36,56.2
5,F,F2,2,6.861809918,7.904779857,0,4.36,45.5
5,F,F3,3,5.804850551,7.2887459,0,4.36,48.6
6,C,C1,1,6.255272505,7.49E+00,,4.34,47.1
6,C,C2,2,7.070037867,7.98E+00,,4.32,54.3
6,C,C3,3,6.342422681,7.94E+00,,4.14,41.8
6,F,F1,1,6.880813592,7.69E+00,,4.33,66.6
6,F,F2,2,7.235528447,7.65E+00,,4.29,60.6
6,F,F3,3,6.255272505,7.12E+00,,4.35,48.7
7,C,C1,1,6.491361694,7.45E+00,,4.38,55.55
7,C,C2,2,6.579783597,7.88E+00,,4.27,67.55
7,C,C3,3,6.491361694,8.01E+00,,4.195,51.05
7,F,F1,1,6.305351369,7.62E+00,,4.34,66.15
7,F,F2,2,6.227886705,7.88E+00,,4.34,52.7
7,F,F3,3,6.591064607,7.87E+00,,4.235,56.85
8,C,C1,1,6.596597096,7.74E+00,,4.15,32.6
8,C,C2,2,6.638489257,7.80E+00,,4.11,52.3
8,C,C3,3,6.23299611,7.97E+00,,4.01,33.6
8,F,F1,1,6.080987047,7.77E+00,,4.18,44.25
8,F,F2,2,6.138302698,7.72E+00,,4.14,42.15
8,F,F3,3,6.130333768,7.93E+00,,4.03,44.3
9,C,C1,1,5.90579588,7.562292864,,4.17,39.5
9,C,C2,2,6.18610838,7.667452953,,4.11,52.8
9,C,C3,3,5.653212514,7.73239376,,4.03,50.7
9,F,F1,1,6.537819095,7.607455023,,4.21,48.4
9,F,F2,2,6.380211242,7.537819095,,4.2,47.1
9,F,F3,3,7.201397124,7.431363764,,4.14,50.5
10,C,C1,1,6.447158031,7.643452676,,4.07,43.3
10,C,C2,2,6.301029996,7.788875116,,4.05,53.1
10,C,C3,3,6.648360011,7.744292983,,3.95,51.6
10,F,F1,1,6.243038049,7.618048097,,4.16,67.2
10,F,F2,2,6.736396502,7.591064607,,4.05,48.7
10,F,F3,3,7.031408464,7.62838893,,4.02,57
